-0.76,0.00
-0.78,0.02
-0.90,0.04
-0.96,0.06
-1.01,0.07
-1.08,0.10
-1.10,0.12
-1.16,0.14
-1.20,0.16
-1.31,1.03
-1.30,1.05
-1.25,1.07
-1.15,1.10
-1.10,1.13
-1.06,1.15
-1.00,1.17
-0.91,1.19
-0.88,1.21
-0.83,1.23
0.29,2.03
1.44,2.06
1.49,2.08
1.53,2.10
1.58,2.12
1.59,2.14
1.65,2.16
1.66,2.18
1.68,2.20
1.70,2.22
0.85,3.00
0.70,3.05
0.69,3.07
0.58,3.10
0.51,3.13
0.46,3.15
0.40,3.16
0.34,3.19
0.26,3.20
-1.66,3.99
-1.66,4.01
-1.68,4.06
0.28,5.17
1.14,6.05
1.15,6.07
1.15,6.09
1.11,6.11
1.08,6.16
1.10,6.18
1.07,6.20
1.00,6.26
-0.51,7.00
-0.57,7.02
-0.63,7.04
-0.69,7.06
-0.70,7.08
-0.77,7.10
-0.83,7.12
-0.87,7.14
-0.90,7.16
-0.98,7.18
-1.07,7.20
-1.08,7.22
-1.50,7.99
-1.49,8.00
-1.48,8.02
-1.45,8.04
1.20,9.04
1.23,9.08
1.37,9.10
1.05,10.00
1.04,10.04
0.97,10.06
-1.49,10.99
-1.52,11.02
-1.57,11.04
-1.57,11.05
-0.44,14.08
-1.62,15.00
-1.61,15.00
-1.61,15.02
-1.57,15.04
-1.57,15.05
-1.56,15.06
-1.76,15.08
0.88,16.01
0.91,16.03
0.98,16.06
1.10,16.08
1.09,16.10
1.31,17.01
1.27,17.03
1.21,17.05
1.16,17.07
-1.34,18.00
-1.36,18.02
-1.41,18.04
-1.44,18.06
-1.49,18.08
-0.93,19.00
-0.72,19.02
-0.65,19.04
-0.60,19.06
